COLLISION_ID,crash_datetime,CRASH_YEAR,CRASH_MONTH,CRASH_HOUR,CRASH_WEEKDAY,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,persons_count,persons_injured,persons_killed,PEDESTRIAN,BICYCLIST,MOTORIST,median_age
3537284,2016-10-09 18:15:00,2016,10,18,Sunday,MANHATTAN,10001.0,40.749638,-73.99905,0.0,0.0,Following Too Closely,Sedan,4.0,0.0,0.0,0.0,0.0,0.0,41.5
4762761,2024-10-10 17:25:00,2024,10,17,Thursday,MANHATTAN,10016.0,40.74568,-73.97213,1.0,0.0,Driver Inattention/Distraction,Sedan,3.0,1.0,0.0,0.0,0.0,0.0,46.0
3620532,2017-02-23 15:30:00,2017,2,15,Thursday,QUEENS,11377.0,40.756996,-73.90784,0.0,0.0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,6.0,0.0,0.0,0.0,0.0,0.0,27.5
3266501,2015-07-28 08:25:00,2015,7,8,Tuesday,BROOKLYN,11201.0,40.6854487,-73.991332,1.0,0.0,Physical Disability,SPORT UTILITY / STATION WAGON,1.0,1.0,0.0,0.0,0.0,0.0,27.0
3726834,2017-08-04 19:04:00,2017,8,19,Friday,UNKNOWN,,40.604153,-74.05198,0.0,0.0,Following Too Closely,Station Wagon/Sport Utility Vehicle,10.0,0.0,0.0,0.0,0.0,0.0,33.5
188298,2012-10-02 16:00:00,2012,10,16,Tuesday,BROOKLYN,11201.0,40.6899325,-73.9814728,0.0,0.0,Unspecified,PASSENGER VEHICLE,,,,,,,
3654732,2017-04-21 10:10:00,2017,4,10,Friday,MANHATTAN,10022.0,40.76093,-73.96914,1.0,0.0,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle,5.0,1.0,0.0,0.0,0.0,0.0,36.0
3374785,2016-01-17 09:50:00,2016,1,9,Sunday,BROOKLYN,11236.0,40.63181,-73.8927708,0.0,0.0,Failure to Keep Right,PASSENGER VEHICLE,,,,,,,
3035061,2014-07-08 15:00:00,2014,7,15,Tuesday,UNKNOWN,,40.7382134,-73.8010654,0.0,0.0,Fatigued/Drowsy,PASSENGER VEHICLE,,,,,,,
3889217,2018-04-27 06:50:00,2018,4,6,Friday,QUEENS,11355.0,40.745304,-73.82595,0.0,0.0,Unspecified,Station Wagon/Sport Utility Vehicle,4.0,0.0,0.0,0.0,0.0,0.0,44.0
2825445,2014-11-18 14:15:00,2014,11,14,Tuesday,MANHATTAN,10022.0,40.7612344,-73.9638843,0.0,0.0,Other Vehicular,SMALL COM VEH(4 TIRES) ,,,,,,,
4646133,2023-07-09 11:00:00,2023,7,11,Sunday,STATEN ISLAND,10306.0,40.58286,-74.102196,0.0,0.0,Unspecified,Sedan,1.0,0.0,0.0,0.0,0.0,0.0,35.0
4524112,2022-05-01 14:30:00,2022,5,14,Sunday,BROOKLYN,11217.0,40.684574,-73.978806,0.0,0.0,Unspecified,Sedan,2.0,0.0,0.0,0.0,0.0,0.0,48.0
4792620,2025-02-10 12:40:00,2025,2,12,Monday,MANHATTAN,10036.0,40.761337,-73.99324,0.0,0.0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,5.0,0.0,0.0,0.0,0.0,0.0,36.0
3868160,2018-03-23 17:18:00,2018,3,17,Friday,QUEENS,11364.0,40.75076,-73.757835,0.0,0.0,Passing or Lane Usage Improper,Sedan,4.0,0.0,0.0,0.0,0.0,0.0,56.0
3694797,2017-06-19 20:55:00,2017,6,20,Monday,BROOKLYN,11222.0,40.724636,-73.94818,0.0,0.0,Traffic Control Disregarded,Sedan,4.0,0.0,0.0,0.0,0.0,0.0,10.5
3033997,2013-06-23 23:14:00,2013,6,23,Sunday,UNKNOWN,,40.7169922,-73.8240129,2.0,0.0,Unspecified,SPORT UTILITY / STATION WAGON,2.0,2.0,0.0,0.0,0.0,0.0,46.0
4579634,2022-11-01 23:47:00,2022,11,23,Tuesday,BROOKLYN,11226.0,40.648853,-73.95112,0.0,0.0,Turning Improperly,Sedan,4.0,0.0,0.0,0.0,0.0,0.0,36.0
